"";"year";"month";"day";"dayly_power";"dayly_kitchen";"dayly_laundry";"dayly_ewac";"dayly_residual";"dayly_cost_kitchen";"dayly_cost_laundry";"dayly_cost_ewac";"dayly_cost_residual"
"1";2007;1;1;45,8167333333333;0;0,352;5,88;39,5847333333333;0;0,051836;0,92904;5,6623162
"2";2007;1;2;21,1539333333333;0;0,348;6,562;14,2439333333333;0;0,050154;1,006486;2,1185623
"3";2007;1;3;16,9009;0;0,344;4,765;11,7919;0;0,049522;0,706285;1,6934997
"4";2007;1;4;54,3235333333333;1,051;7,597;10,896;34,7795333333333;0,129273;1,175861;1,721568;4,93840726666667
"5";2007;1;5;45,2227333333333;1,483;0,379;7,602;35,7587333333333;0,234314;0,055857;1,126951;5,10282053333333
"6";2007;1;6;25,1396333333333;1,336;0,402;5,678;17,7236333333333;0,211088;0,058791;0,849594;2,71164056666667
"7";2007;1;7;40,7936666666667;1,987;8,177;12,81;17,8196666666667;0,313946;1,286121;1,94719;2,72362066666667
"8";2007;1;8;37,356;0;0,467;17,547;19,342;0;0,067381;2,556021;2,97084133333333
"9";2007;1;9;31,1509;1,688;4,267;9,79;15,4059;0,266704;0,620811;1,529215;2,3412282
"10";2007;1;10;35,9133333333333;0,771;4,456;11,012;19,6743333333333;0,121818;0,696733;1,720191;3,0218695
"11";2007;1;11;37,5865666666667;1,378;2,17;12,415;21,6235666666667;0,217724;0,33733;1,94008;3,2879662
"12";2007;1;12;24,3549333333333;0;0,439;8,276;15,6399333333333;0;0,062957;1,284788;2,3427353
"13";2007;1;13;53,1135666666667;7,806;2,975;11,341;30,9915666666667;1,170313;0,46648;1,718168;4,66965636666667
"14";2007;1;14;NA;NA;NA;NA;NA;NA;NA;NA;NA
"15";2007;1;15;35,8113;1,099;2,239;15,163;17,3103;0,173642;0,298602;2,314239;2,60726456666667
"16";2007;1;16;28,1067333333333;2,063;0,644;6,583;18,8167333333333;0,325954;0,091707;1,018239;2,8764637
"17";2007;1;17;47,4614666666667;3,5;5,737;16,064;22,1604666666667;0,53235;0,902351;2,462057;3,4236199
"18";2007;1;18;30,3577;0;0,336;13,491;16,5307;0;0,048888;2,038093;2,5333771
"19";2007;1;19;24,674;2,103;0,33;7,172;15,069;0,307179;0,048535;1,099331;2,26626533333333
"20";2007;1;20;52,2288666666667;4,324;5,222;11,44;31,2428666666667;0,683192;0,821576;1,80752;4,61386776666667
"21";2007;1;21;56,7877;10,346;5,567;11,599;29,2757;1,634073;0,874861;1,806392;4,29510343333333
"22";2007;1;22;36,3415666666667;1,054;2,983;11,361;20,9435666666667;0,166532;0,466274;1,776243;3,16391636666667
"23";2007;1;23;29,6273333333333;0;1,064;5,061;23,5023333333333;0;0,138187;0,777168;3,52976566666667
"24";2007;1;24;49,7975666666667;3,464;2,48;11,744;32,1095666666667;0,547312;0,389285;1,820482;4,70826036666667
"25";2007;1;25;26,6057333333333;1,158;0,262;11,239;13,9467333333333;0,182964;0,038526;1,743352;2,10534353333333
"26";2007;1;26;26,9662;1,163;0,261;8,238;17,3042;0,149034;0,037878;1,269404;2,63517693333333
